Gene_ID,Tau,Maximum_Tissue,Maximum_Median_TPM,Maximum_Tissue_Group,Tissues_with_Median_TPM_ge_5,Number_of_Tissues_with_Median_TPM_ge_5,Full_Gene_ID,Chromosome,Sequence_ID,Start,End,Strand,Gene_Length_bp,Description,Description_full,GO,InterPro,Pfam,PANTHER,Gene3D,Prosite,Superfamily,SMART,Dbxref_raw,Gene3D_IPRscan,PANTHER_IPRscan,Pfam_IPRscan,Prosite_IPRscan,Superfamily_IPRscan,SMART_IPRscan,PRINTS_IPRscan,Coils_IPRscan,TIGRFAM_IPRscan,Hamap_IPRscan,PIRSF_IPRscan,IPRscan_domain_descriptions,IPRscan_protein_isoforms,IPRscan_databases,IPRscan_unique_signatures,IPRscan_total_matches,Pfam_combined,PANTHER_combined,Gene3D_combined,Prosite_combined,Superfamily_combined,SMART_combined,TF_Family,TF_Mapping_Status,TF_Family_Conflict,Any_Ambiguous_Mapping,Number_of_supporting_NCBI_genes,Number_of_supporting_TF_proteins,Supporting_NCBI_genes,Supporting_PlantTFDB_Proteins,Maximum_Percent_Identity,Maximum_Query_Coverage,Maximum_Bitscore,Number_of_Tissues_TPM_ge_1,Number_of_Tissues_TPM_ge_5,Minimum_Median_TPM,Maximum_Median_TPM_Recalculated,Mean_Median_TPM,Median_Median_TPM,SD_Median_TPM,CV_Median_TPM,Maximum_Tissue_Recalculated,Expression_Class,Housekeeping_Stability_Score
Ca_12217,0.36454218750920686,Gynoecium,30.087912,Flower organs,Gynoecium;Seed 5 dap;Seed 10 dap;Flower bud 1;Pod Shell;Flower bud 2;Flower 2;Flower 3;Endosperm;Flower bud 3;Flower 1;Flower bud 4;Flower 4;Flower 5;Root tip;Seed Coat;Petal;Germinating Seedling;SAM;Embryo;Pedicel;Root;Sepal;Seed 20 dap;Young leaf;Androecium;Root Hair;Nodule;Bracteole;Shoot;Mature leaf;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_12217,chr05,cicar.CDCFrontier.gnm2.chr05,4544584,4547723,+,3140,RNA-binding protein 39-like [Glycine max],"RNA-binding protein 39-like [Glycine max]; IPR001878 (Zinc finger, CCHC-type), IPR012677 (Nucleotide-binding, alpha-beta plait); GO:0000166 (nucleotide binding), GO:0003676 (nucleic acid binding), GO:0008270 (zinc ion binding)","GO:0000166,GO:0003676,GO:0008270",IPR000504;IPR001878;IPR003954;IPR012677,PF00076;PF00098,PTHR24011;PTHR24011:SF124,G3DSA:3.30.70.330;G3DSA:4.10.60.10,PS50102;PS50158,SSF54928;SSF57756,SM00343;SM00360;SM00361,"Gene3D:G3DSA:3.30.70.330,Gene3D:G3DSA:4.10.60.10,InterPro:IPR000504,InterPro:IPR001878,InterPro:IPR003954,InterPro:IPR012677,PANTHER:PTHR24011,PANTHER:PTHR24011:SF124,Pfam:PF00076,Pfam:PF00098,Prosite:PS50102,Prosite:PS50158,SMART:SM00343,SMART:SM00360,SMART:SM00361,Superfamily:SSF54928,Superfamily:SSF57756",G3DSA:3.30.70.330;G3DSA:4.10.60.10,PTHR24011;PTHR24011:SF124,PF00076;PF00098,PS50102;PS50158,SSF54928;SSF57756,SM00343;SM00360;SM00361,NA,NA,NA,NA,NA,"Eukaryotic RNA Recognition Motif (RRM) profile.;RNA recognition motif;RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain);zinc finger;Zinc finger CCHC-type profile.;Zinc knuckle",1,6,13,13,PF00076;PF00098,PTHR24011;PTHR24011:SF124,G3DSA:3.30.70.330;G3DSA:4.10.60.10,PS50102;PS50158,SSF54928;SSF57756,SM00343;SM00360;SM00361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,9.6651135,30.087912,19.46235853125,19.695268,5.824181976847707,0.2992536576436011,Gynoecium,Ubiquitous,0.663795845152808
Ca_00458,0.3755888773042997,Gynoecium,25.568884,Flower organs,Gynoecium;Root;Pod Shell;Petal;Seed 5 dap;Root Hair;Seed 10 dap;Flower 1;Flower 2;Sepal;SAM;Flower bud 3;Flower bud 1;Flower 3;Seed Coat;Flower bud 4;Germinating Seedling;Nodule;Seed 30 dap;Shoot;Root tip;Flower 5;Flower bud 2;Flower 4;Seed 20 dap;Young leaf;Androecium;Mature leaf;Pedicel;Embryo;Bracteole;Endosperm,32,cicar.CDCFrontier.gnm2.ann1.Ca_00458,chr01,cicar.CDCFrontier.gnm2.chr01,3586675,3589246,-,2572,Putative adipose-regulatory protein (Seipin),"Putative adipose-regulatory protein (Seipin); IPR009617 (Adipose-regulatory protein, Seipin)",NA,IPR009617,PF06775,PTHR21212;PTHR21212:SF0,NA,NA,NA,NA,"InterPro:IPR009617,PANTHER:PTHR21212,PANTHER:PTHR21212:SF0,Pfam:PF06775",NA,PTHR21212;PTHR21212:SF0,PF06775,NA,NA,NA,NA,NA,NA,NA,NA,Putative adipose-regulatory protein (Seipin),1,2,3,3,PF06775,PTHR21212;PTHR21212:SF0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,6.899581,25.568884,16.265601453125,16.082368000000002,4.689267460311877,0.28829351769288303,Gynoecium,Ubiquitous,0.6638823949971827
Ca_15783,0.3537438202799307,Seed 10 dap,23.874646,Seed/Pod,Seed 10 dap;Mature leaf;Seed 20 dap;Root Hair;Gynoecium;Embryo;Androecium;Petal;Flower bud 3;Flower bud 2;Flower bud 1;Flower bud 4;Seed 30 dap;Germinating Seedling;Pod Shell;Young leaf;Root tip;Shoot;Seed Coat;Bracteole;Pedicel;Flower 1;Root;Seed 5 dap;Flower 2;Sepal;Nodule;SAM;Endosperm;Flower 5;Flower 3;Flower 4,32,cicar.CDCFrontier.gnm2.ann1.Ca_15783,chr06,cicar.CDCFrontier.gnm2.chr06,2990667,3021795,-,31129,aluminum-activated malate transporter 9-like isoform X1 [Glycine max],"aluminum-activated malate transporter 9-like isoform X1 [Glycine max]; IPR001194 (DENN domain), IPR005112 (dDENN domain), IPR005113 (uDENN domain), IPR015943 (WD40/YVTN repeat-like-containing domain), IPR020472 (G-protein beta WD-40 repeat), IPR020966 (Aluminum-activated malate transporter); GO:0005515 (protein binding), GO:0015743 (malate transport)","GO:0005515,GO:0015743",IPR001194;IPR001680;IPR005112;IPR005113;IPR015943;IPR017986;IPR019775;IPR020472;IPR020966,PF00400;PF02141;PF03455;PF03456;PF11744,PTHR31086;PTHR31086:SF0,G3DSA:2.130.10.10,PS00678;PS50082;PS50211;PS50294;PS50946;PS50947,SSF50978,SM00320;SM00799;SM00800;SM00801,"Coils:Coil,Gene3D:G3DSA:2.130.10.10,InterPro:IPR001194,InterPro:IPR001680,InterPro:IPR005112,InterPro:IPR005113,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775,InterPro:IPR020472,InterPro:IPR020966,PANTHER:PTHR31086,PANTHER:PTHR31086:SF0,PRINTS:PR00320,Pfam:PF00400,Pfam:PF02141,Pfam:PF03455,Pfam:PF03456,Pfam:PF11744,Prosite:PS00678,Prosite:PS50082,Prosite:PS50211,Prosite:PS50294,Prosite:PS50946,Prosite:PS50947,SMART:SM00320,SMART:SM00799,SMART:SM00800,SMART:SM00801,Superfamily:SSF50978",G3DSA:2.130.10.10,PTHR31086;PTHR31086:SF0,PF00400;PF02141;PF03455;PF03456;PF11744,PS00678;PS50082;PS50211;PS50294;PS50946;PS50947,SSF50978,SM00320;SM00799;SM00800;SM00801,PR00320,Coil,NA,NA,NA,"Aluminium activated malate transporter;dDENN domain;dDENN domain profile.;DENN (AEX-3) domain;DENN domain profile.;Domain always found downstream of DENN domain, found in a variety of signalling proteins;Domain always found upstream of DENN domain, found in a variety of signalling proteins;Domain found in a variety of signalling proteins, always encircled by uDENN and dDENN;G protein beta WD-40 repeat signature;Trp-Asp (WD) repeats circular profile.;Trp-Asp (WD) repeats profile.;Trp-Asp (WD) repeats signature.;uDENN domain;uDENN domain profile.;WD domain, G-beta repeat;WD40 repeats",1,9,21,42,PF00400;PF02141;PF03455;PF03456;PF11744,PTHR31086;PTHR31086:SF0,G3DSA:2.130.10.10,PS00678;PS50082;PS50211;PS50294;PS50946;PS50947,SSF50978,SM00320;SM00799;SM00800;SM00801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,6.317949,23.874646,15.69305965625,17.3310845,4.868665371292258,0.31024322075735167,Seed 10 dap,Ubiquitous,0.6639870410372823
Ca_17577,0.3750203909464126,Flower bud 2,33.844084,Flower organs,Flower bud 2;Androecium;Flower bud 1;Flower bud 3;Seed 10 dap;Flower 3;Flower 1;Petal;Flower 2;Flower bud 4;Flower 5;Flower 4;Seed 5 dap;Germinating Seedling;Pod Shell;Root tip;Root Hair;Seed Coat;Gynoecium;Sepal;Pedicel;Embryo;Root;Mature leaf;Bracteole;SAM;Young leaf;Nodule;Shoot;Endosperm;Seed 20 dap;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_17577,chr06,cicar.CDCFrontier.gnm2.chr06,20594569,20602317,+,7749,scramblase-related,"scramblase-related; IPR005552 (Scramblase), IPR025659 (Tubby C-terminal-like domain)",NA,IPR005552;IPR025659,PF03803,PTHR23248;PTHR23248:SF2,NA,NA,SSF54518,NA,"InterPro:IPR005552,InterPro:IPR025659,PANTHER:PTHR23248,PANTHER:PTHR23248:SF2,Pfam:PF03803,Superfamily:SSF54518",NA,PTHR23248;PTHR23248:SF2,PF03803,NA,SSF54518,NA,NA,NA,NA,NA,NA,Scramblase,1,3,4,4,PF03803,PTHR23248;PTHR23248:SF2,NA,NA,SSF54518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,5.681188499999999,33.844084,21.5484943125,21.421667,6.228150300515867,0.2890294890303773,Flower bud 2,Ubiquitous,0.6640498799767899
Ca_18566,0.3642738804524812,Gynoecium,25.434338,Flower organs,Gynoecium;SAM;Flower bud 1;Flower bud 2;Root tip;Root Hair;Seed 5 dap;Flower bud 3;Flower 5;Seed 10 dap;Pod Shell;Flower bud 4;Flower 1;Flower 2;Flower 3;Sepal;Shoot;Petal;Young leaf;Pedicel;Nodule;Germinating Seedling;Embryo;Seed Coat;Flower 4;Mature leaf;Endosperm;Androecium;Bracteole;Root;Seed 20 dap;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_18566,chr06,cicar.CDCFrontier.gnm2.chr06,53293424,53299190,-,5767,ubiquitin-like modifier-activating enzyme ATG7,"ubiquitin-like modifier-activating enzyme ATG7; IPR006285 (Ubiquitin-like modifier-activating enzyme Atg7), IPR016040 (NAD(P)-binding domain); GO:0003824 (catalytic activity), GO:0005737 (cytoplasm), GO:0006914 (autophagy)","GO:0003824,GO:0005737,GO:0006914",IPR000594;IPR006285;IPR009036;IPR016040,PF00899,PTHR10953;PTHR10953:SF3,G3DSA:3.40.50.720,NA,SSF69572,NA,"Gene3D:G3DSA:3.40.50.720,InterPro:IPR000594,InterPro:IPR006285,InterPro:IPR009036,InterPro:IPR016040,JCVI_TIGRFAMS:TIGR01381,PANTHER:PTHR10953,PANTHER:PTHR10953:SF3,Pfam:PF00899,Superfamily:SSF69572",G3DSA:3.40.50.720,PTHR10953;PTHR10953:SF3,PF00899,NA,SSF69572,NA,NA,NA,TIGR01381,NA,NA,E1_like_apg7: E1-like protein-activating enzyme Gsa7p/Apg7p;ThiF family,1,5,6,7,PF00899,PTHR10953;PTHR10953:SF3,G3DSA:3.40.50.720,NA,SSF69572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,5.3976325,25.434338,16.45880628125,16.1852175,4.935417554840937,0.2998648547472974,Gynoecium,Ubiquitous,0.6641387351997786
Ca_17312,0.3715776253878796,Gynoecium,15.593725,Flower organs,Gynoecium;Seed 10 dap;Seed 5 dap;Root;Root tip;Germinating Seedling;Mature leaf;Flower bud 1;SAM;Endosperm;Flower 5;Shoot;Flower bud 2;Seed Coat;Petal;Flower 3;Pedicel;Pod Shell;Bracteole;Embryo;Young leaf;Flower 4;Flower 1;Flower bud 4;Flower bud 3;Sepal;Nodule;Flower 2;Root Hair,29,cicar.CDCFrontier.gnm2.ann1.Ca_17312,chr06,cicar.CDCFrontier.gnm2.chr06,17869909,17874598,+,4690,pfkB-like carbohydrate kinase family protein,"pfkB-like carbohydrate kinase family protein; IPR002139 (Ribokinase); GO:0004747 (ribokinase activity), GO:0006014 (D-ribose metabolic process)","GO:0004747,GO:0006014,GO:0016773",IPR002139;IPR002173;IPR011611,PF00294,PTHR10584;PTHR10584:SF118,G3DSA:3.40.1190.20,PS00583,SSF53613,NA,"Gene3D:G3DSA:3.40.1190.20,InterPro:IPR002139,InterPro:IPR002173,InterPro:IPR011611,PANTHER:PTHR10584,PANTHER:PTHR10584:SF118,PRINTS:PR00990,Pfam:PF00294,Prosite:PS00583,Superfamily:SSF53613",G3DSA:3.40.1190.20,PTHR10584;PTHR10584:SF118,PF00294,PS00583,SSF53613,NA,PR00990,NA,NA,NA,NA,pfkB family carbohydrate kinase;pfkB family of carbohydrate kinases signature 1.;Ribokinase signature,1,6,7,11,PF00294,PTHR10584;PTHR10584:SF118,G3DSA:3.40.1190.20,PS00583,SSF53613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,29,3.23872,15.593725,9.980516921875,9.831851499999999,2.92023935548457,0.2925939987220578,Gynoecium,Ubiquitous,0.6641716241099374
Ca_05351,0.36810871823774033,SAM,29.063728,Leaf/Shoot/SAM,SAM;Seed 10 dap;Gynoecium;Seed 5 dap;Flower bud 1;Young leaf;Flower bud 2;Petal;Embryo;Root tip;Germinating Seedling;Flower bud 3;Shoot;Flower 4;Flower bud 4;Seed Coat;Pod Shell;Sepal;Flower 1;Flower 5;Flower 3;Flower 2;Nodule;Endosperm;Root;Seed 20 dap;Pedicel;Mature leaf;Bracteole;Root Hair;Seed 30 dap;Androecium,32,cicar.CDCFrontier.gnm2.ann1.Ca_05351,chr03,cicar.CDCFrontier.gnm2.chr03,3353032,3360384,-,7353,polypyrimidine tract-binding protein 1,"polypyrimidine tract-binding protein 1; IPR012677 (Nucleotide-binding, alpha-beta plait); GO:0000166 (nucleotide binding), GO:0003676 (nucleic acid binding)","GO:0000166,GO:0003676",IPR000504;IPR012677,PF13893,PTHR11546;PTHR11546:SF12,G3DSA:3.30.70.330,PS50102,SSF54928,SM00360,"Gene3D:G3DSA:3.30.70.330,InterPro:IPR000504,InterPro:IPR012677,PANTHER:PTHR11546,PANTHER:PTHR11546:SF12,Pfam:PF13893,Prosite:PS50102,SMART:SM00360,Superfamily:SSF54928",G3DSA:3.30.70.330,PTHR11546;PTHR11546:SF12,PF13893,PS50102,SSF54928,SM00360,NA,NA,NA,NA,NA,"Eukaryotic RNA Recognition Motif (RRM) profile.;RNA recognition motif;RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",1,6,7,14,PF13893,PTHR11546;PTHR11546:SF12,G3DSA:3.30.70.330,PS50102,SSF54928,SM00360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,8.72298,29.063728,18.699447953125,19.4420845,5.536591607345342,0.2960831582421171,SAM,Ubiquitous,0.6641918764798574
Ca_22537,0.3863608077248292,Seed 10 dap,57.695388,Seed/Pod,Seed 10 dap;Seed 5 dap;Gynoecium;Petal;Pod Shell;Flower bud 1;Flower 5;Flower bud 2;Flower bud 3;Seed Coat;Shoot;Flower 1;Pedicel;Flower bud 4;Flower 3;Flower 2;Androecium;Germinating Seedling;Embryo;Mature leaf;Endosperm;SAM;Sepal;Root Hair;Root;Seed 20 dap;Flower 4;Nodule;Young leaf;Seed 30 dap;Bracteole;Root tip,32,cicar.CDCFrontier.gnm2.ann1.Ca_22537,chr07,cicar.CDCFrontier.gnm2.chr07,58570197,58578373,+,8177,glutamate dehydrogenase 1,"glutamate dehydrogenase 1; IPR006095 (Glutamate/phenylalanine/leucine/valine dehydrogenase), IPR016040 (NAD(P)-binding domain); GO:0006520 (cellular amino acid metabolic process), GO:0016491 (oxidoreductase activity), GO:0055114 (oxidation-reduction process)","GO:0006520,GO:0016491,GO:0055114",IPR006095;IPR006096;IPR006097;IPR016040,PF00208;PF02812,PTHR11606;PTHR11606:SF4,G3DSA:1.10.285.10;G3DSA:3.40.192.10;G3DSA:3.40.50.720,NA,SSF51735;SSF53223,SM00839,"Gene3D:G3DSA:1.10.285.10,Gene3D:G3DSA:3.40.192.10,Gene3D:G3DSA:3.40.50.720,InterPro:IPR006095,InterPro:IPR006096,InterPro:IPR006097,InterPro:IPR016040,PANTHER:PTHR11606,PANTHER:PTHR11606:SF4,PRINTS:PR00082,Pfam:PF00208,Pfam:PF02812,SMART:SM00839,Superfamily:SSF51735,Superfamily:SSF53223",G3DSA:1.10.285.10;G3DSA:3.40.192.10;G3DSA:3.40.50.720,PTHR11606;PTHR11606:SF4,PF00208;PF02812,NA,SSF51735;SSF53223,SM00839,PR00082,NA,NA,NA,NA,"Glu/Leu/Phe/Val dehydrogenase, dimerisation domain;Glutamate/Leucine/Phenylalanine/Valine dehydrogenase;Glutamate/leucine/phenylalanine/valine dehydrogenase signature",1,6,11,14,PF00208;PF02812,PTHR11606;PTHR11606:SF4,G3DSA:1.10.285.10;G3DSA:3.40.192.10;G3DSA:3.40.50.720,NA,SSF51735;SSF53223,SM00839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,20.297466,57.695388,36.1007524375,36.382609,10.036428480254813,0.27801161478920805,Seed 10 dap,Ubiquitous,0.6643724225140373
Ca_03731,0.37056689387033814,Flower bud 2,28.265677,Flower organs,Flower bud 2;Flower bud 1;Flower 2;Flower 3;Petal;Flower bud 3;Seed 5 dap;Endosperm;Flower 1;Seed 10 dap;Gynoecium;Flower bud 4;Nodule;Flower 5;Sepal;Root tip;Androecium;Pod Shell;Flower 4;Mature leaf;Young leaf;Pedicel;SAM;Embryo;Shoot;Seed Coat;Germinating Seedling;Bracteole;Root Hair;Root;Seed 20 dap,31,cicar.CDCFrontier.gnm2.ann1.Ca_03731,chr02,cicar.CDCFrontier.gnm2.chr02,11363329,11367681,+,4353,Protein of unknown function (DUF155),Protein of unknown function (DUF155); IPR003734 (Protein of unknown function DUF155),NA,IPR003734,PF02582,PTHR16255,NA,NA,NA,NA,"InterPro:IPR003734,PANTHER:PTHR16255,Pfam:PF02582",NA,PTHR16255,PF02582,NA,NA,NA,NA,NA,NA,NA,NA,"Uncharacterised ACR, YagE family COG1723",1,2,2,2,PF02582,PTHR16255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,31,4.16317,28.265677,18.1186755,19.323515,5.326502178622211,0.29397856254019294,Flower bud 2,Ubiquitous,0.6645454564105311
Ca_15959,0.39106845705085863,Flower 3,89.085273,Flower organs,Flower 3;Flower 2;Flower 1;Flower bud 1;Flower 5;SAM;Flower bud 2;Flower 4;Flower bud 3;Gynoecium;Seed 5 dap;Mature leaf;Nodule;Flower bud 4;Pod Shell;Petal;Seed 10 dap;Root;Germinating Seedling;Shoot;Root tip;Pedicel;Root Hair;Young leaf;Seed 30 dap;Endosperm;Seed Coat;Sepal;Embryo;Bracteole;Androecium;Seed 20 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_15959,chr06,cicar.CDCFrontier.gnm2.chr06,4560559,4564842,+,4284,unknown protein,unknown protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,21.9747365,89.085273,55.335534,53.295579000000004,15.155618517150858,0.2738858274531309,Flower 3,Ubiquitous,0.6649542845039895
Ca_03790,0.3523457749166525,Seed 10 dap,45.002711,Seed/Pod,Seed 10 dap;Flower 4;Flower 3;Flower 5;Seed 5 dap;Flower 2;Androecium;Flower bud 1;Pod Shell;Flower 1;Sepal;Gynoecium;Nodule;Seed 30 dap;Seed Coat;Flower bud 4;Flower bud 2;Pedicel;Flower bud 3;Germinating Seedling;Root Hair;Root;Petal;SAM;Endosperm;Embryo;Seed 20 dap;Shoot;Mature leaf;Bracteole;Young leaf;Root tip,32,cicar.CDCFrontier.gnm2.ann1.Ca_03790,chr02,cicar.CDCFrontier.gnm2.chr02,12620722,12624359,+,3638,6-phosphogluconolactonase 1,"6-phosphogluconolactonase 1; IPR006148 (Glucosamine/galactosamine-6-phosphate isomerase); GO:0005975 (carbohydrate metabolic process), GO:0006098 (pentose-phosphate shunt), GO:0017057 (6-phosphogluconolactonase activity)","GO:0005975,GO:0006098,GO:0017057",IPR005900;IPR006148,PF01182,PTHR11054,G3DSA:3.40.50.1360,NA,SSF100950,NA,"Gene3D:G3DSA:3.40.50.1360,InterPro:IPR005900,InterPro:IPR006148,JCVI_TIGRFAMS:TIGR01198,PANTHER:PTHR11054,Pfam:PF01182,Superfamily:SSF100950",G3DSA:3.40.50.1360,PTHR11054,PF01182,NA,SSF100950,NA,NA,NA,TIGR01198,NA,NA,Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase;pgl: 6-phosphogluconolactonase,1,5,5,5,PF01182,PTHR11054,G3DSA:3.40.50.1360,NA,SSF100950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,13.722982,45.002711,29.641712015625,31.862772,9.269492310991927,0.31271784524813245,Seed 10 dap,Ubiquitous,0.6650636201647849
Ca_15862,0.3478174227131823,Flower 2,55.354862,Flower organs,Flower 2;Root;Flower 1;Flower 3;Seed Coat;Flower bud 1;SAM;Flower bud 2;Flower 5;Seed 30 dap;Flower bud 3;Seed 5 dap;Seed 10 dap;Flower bud 4;Pod Shell;Germinating Seedling;Gynoecium;Flower 4;Nodule;Root Hair;Seed 20 dap;Shoot;Pedicel;Petal;Sepal;Androecium;Embryo;Mature leaf;Bracteole;Root tip;Young leaf;Endosperm,32,cicar.CDCFrontier.gnm2.ann1.Ca_15862,chr06,cicar.CDCFrontier.gnm2.chr06,3688738,3691351,+,2614,Protein-tyrosine phosphatase mitochondrial n=2 Tax=Medicago truncatula RepID=G7L7D1_MEDTR,"Protein-tyrosine phosphatase mitochondrial n=2 Tax=Medicago truncatula RepID=G7L7D1_MEDTR; IPR000340 (Dual specificity phosphatase, catalytic domain), IPR024950 (Dual specificity phosphatase); GO:0004725 (protein tyrosine phosphatase activity), GO:0006470 (protein dephosphorylation), GO:0008138 (protein tyrosine/serine/threonine phosphatase activity), GO:0016311 (dephosphorylation), GO:0016791 (phosphatase activity)","GO:0004725,GO:0006470,GO:0008138,GO:0016311,GO:0016791",IPR000340;IPR000387;IPR016130;IPR020422;IPR024950,PF00782,PTHR10159;PTHR10159:SF5,G3DSA:3.90.190.10,PS00383;PS50054;PS50056,SSF52799,SM00195,"Gene3D:G3DSA:3.90.190.10,InterPro:IPR000340,InterPro:IPR000387,InterPro:IPR016130,InterPro:IPR020422,InterPro:IPR024950,PANTHER:PTHR10159,PANTHER:PTHR10159:SF5,Pfam:PF00782,Prosite:PS00383,Prosite:PS50054,Prosite:PS50056,SMART:SM00195,Superfamily:SSF52799",G3DSA:3.90.190.10,PTHR10159;PTHR10159:SF5,PF00782,PS00383;PS50054;PS50056,SSF52799,SM00195,NA,NA,NA,NA,NA,"Dual specificity phosphatase, catalytic domain;Dual specificity protein phosphatase family profile.;Tyrosine specific protein phosphatases active site.;Tyrosine specific protein phosphatases family profile.",1,7,9,9,PF00782,PTHR10159;PTHR10159:SF5,G3DSA:3.90.190.10,PS00383;PS50054;PS50056,SSF52799,SM00195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,13.037952,55.354862,36.703144859375,39.8170745,11.655430779455157,0.3175594577552402,Flower 2,Ubiquitous,0.6653768804684225
Ca_13549,0.37130178628423327,Pod Shell,245.431773,Seed/Pod,Pod Shell;Root Hair;Root tip;Seed 10 dap;Gynoecium;Petal;Seed 5 dap;Flower 2;Seed Coat;Flower 1;Flower 3;Root;Germinating Seedling;Flower 4;Embryo;Sepal;Nodule;Pedicel;Flower bud 3;Flower bud 2;Flower bud 1;Flower 5;Flower bud 4;SAM;Shoot;Endosperm;Androecium;Seed 20 dap;Mature leaf;Young leaf;Bracteole;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_13549,chr05,cicar.CDCFrontier.gnm2.chr05,59553175,59558275,-,5101,alpha-soluble NSF attachment protein 2,"alpha-soluble NSF attachment protein 2; IPR000744 (NSF attachment protein); GO:0005515 (protein binding), GO:0006886 (intracellular protein transport)","GO:0005515,GO:0006886",IPR000744;IPR011990,PF14938,PTHR13768,G3DSA:1.25.40.10,NA,SSF48452,NA,"Gene3D:G3DSA:1.25.40.10,InterPro:IPR000744,InterPro:IPR011990,PANTHER:PTHR13768,PRINTS:PR00448,Pfam:PF14938,Superfamily:SSF48452",G3DSA:1.25.40.10,PTHR13768,PF14938,NA,SSF48452,NA,PR00448,NA,NA,NA,NA,"NSF attachment protein signature;Soluble NSF attachment protein, SNAP",1,5,5,10,PF14938,PTHR13768,G3DSA:1.25.40.10,NA,SSF48452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,53.210331,245.431773,157.150306515625,150.33887049999998,46.2479624019073,0.29429126437821485,Pod Shell,Ubiquitous,0.6655930506624481
Ca_09373,0.3512925407141694,Flower bud 1,39.791374,Flower organs,Flower bud 1;Flower bud 2;Root Hair;Flower bud 3;Flower bud 4;Petal;Seed 10 dap;Flower 1;Pod Shell;Embryo;Seed Coat;SAM;Gynoecium;Flower 2;Root tip;Seed 5 dap;Shoot;Endosperm;Young leaf;Germinating Seedling;Flower 3;Pedicel;Androecium;Flower 5;Mature leaf;Sepal;Flower 4;Bracteole;Root;Seed 20 dap;Nodule;Seed 30 dap,32,cicar.CDCFrontier.gnm2.ann1.Ca_09373,chr04,cicar.CDCFrontier.gnm2.chr04,9735931,9745396,+,9466,vacuolar protein sorting-associated protein,"vacuolar protein sorting-associated protein; IPR001619 (Sec1-like protein), IPR027482 (Sec1-like, domain 2); GO:0006904 (vesicle docking involved in exocytosis), GO:0016192 (vesicle-mediated transport)","GO:0006904,GO:0016192",IPR001619;IPR027121;IPR027482,PF00995,PTHR11679;PTHR11679:SF1,G3DSA:3.40.50.1910;G3DSA:3.40.50.2060;G3DSA:3.90.830.10,NA,SSF56815,NA,"Gene3D:G3DSA:3.40.50.1910,Gene3D:G3DSA:3.40.50.2060,Gene3D:G3DSA:3.90.830.10,InterPro:IPR001619,InterPro:IPR027121,InterPro:IPR027482,PANTHER:PTHR11679,PANTHER:PTHR11679:SF1,Pfam:PF00995,Superfamily:SSF56815",G3DSA:3.40.50.1910;G3DSA:3.40.50.2060;G3DSA:3.90.830.10,PTHR11679;PTHR11679:SF1,PF00995,NA,SSF56815,NA,NA,NA,NA,NA,NA,Sec1 family,1,4,7,8,PF00995,PTHR11679;PTHR11679:SF1,G3DSA:3.40.50.1910;G3DSA:3.40.50.2060;G3DSA:3.90.830.10,NA,SSF56815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,8.8291825,39.791374,26.24978653125,27.1207055,8.25465629740576,0.3144656543236536,Flower bud 1,Ubiquitous,0.665758195037823
